Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
Tyrese Maxey,23,70,70,37.5,9.1,20.3,0.45,3,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1,0.5,1.7,2.2,25.9,76ers
Tobias Harris,31,70,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,0.535,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,1.6,17.2,76ers
Joel Embiid,29,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7,76ers
Kelly Oubre Jr.,28,68,52,30.2,5.7,12.9,0.441,1.5,4.8,0.311,4.2,8.1,0.517,0.498,2.6,3.4,0.75,1.4,3.6,5,1.5,1.1,0.7,1.3,2.9,15.4,76ers
Kyle Lowry,37,23,20,28.4,2.6,5.9,0.444,1.6,3.9,0.404,1,2,0.522,0.578,1.2,1.4,0.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8,76ers
De'Anthony Melton,25,38,33,26.9,3.7,9.5,0.386,2,5.6,0.36,1.6,3.8,0.425,0.493,1.7,2.1,0.835,0.7,3,3.7,3,1.6,0.4,1,2.2,11.1,76ers
Nicolas Batum,35,57,38,25.9,2,4.4,0.456,1.2,3.1,0.399,0.7,1.2,0.6,0.599,0.3,0.4,0.714,1.2,3,4.2,2.2,0.8,0.6,0.7,1.8,5.5,76ers
Buddy Hield,31,32,14,25.8,4.4,10.4,0.426,2.6,6.6,0.389,1.9,3.8,0.492,0.55,0.8,0.8,0.923,0.8,2.3,3.2,3,0.8,0.3,1.3,2.1,12.2,76ers
P.J. Tucker,38,3,3,22,0.7,1.7,0.4,0.7,1.7,0.4,0,0,,0.6,0,0,,0.3,4.3,4.7,0,1,0.7,0.7,3,2,76ers
Patrick Beverley,35,47,5,19.6,2.2,5.1,0.432,0.7,2.3,0.321,1.5,2.8,0.523,0.504,1.1,1.3,0.81,0.6,2.4,3.1,3.1,0.5,0.4,1,1.8,6.3,76ers
Cameron Payne,29,31,8,19.4,3.5,8.4,0.413,1.7,4.4,0.382,1.8,4,0.447,0.514,0.7,0.7,0.913,0.5,1.3,1.8,3.1,0.6,0.3,1.1,1.7,9.3,76ers
Paul Reed,24,82,24,19.4,3.2,5.9,0.54,0.3,0.7,0.368,2.9,5.2,0.563,0.561,0.7,1,0.718,2.4,3.6,6,1.3,0.8,1,0.8,2.4,7.3,76ers
Marcus Morris,34,37,7,17.2,2.4,5.5,0.439,1,2.4,0.4,1.5,3.1,0.47,0.527,0.8,1,0.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,76ers
Robert Covington,33,26,3,16.1,1.5,3.4,0.449,0.7,1.8,0.354,0.9,1.6,0.561,0.545,0.8,0.9,0.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,76ers
Danuel House Jr.,30,34,4,15,1.4,3.1,0.448,0.4,1.5,0.3,0.9,1.6,0.582,0.519,1,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,76ers
