Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
DeMar DeRozan,34,79,79,37.8,8.2,17.2,0.48,0.9,2.8,0.333,7.3,14.3,0.509,0.507,6.6,7.7,0.853,0.5,3.8,4.3,5.3,1.1,0.6,1.7,2,24,Bulls
Coby White,23,79,78,36.5,6.8,15.3,0.447,2.6,7,0.376,4.2,8.3,0.508,0.534,2.8,3.3,0.838,0.6,4,4.5,5.1,0.7,0.2,2.1,2.4,19.1,Bulls
Zach LaVine,28,25,23,34.9,6.8,15,0.452,2.4,6.8,0.349,4.4,8.3,0.536,0.531,3.5,4.1,0.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,Bulls
Nikola Vu?evi?,33,76,74,34.3,7.7,15.9,0.484,1.2,4.1,0.294,6.5,11.8,0.55,0.522,1.4,1.7,0.822,2.8,7.8,10.5,3.3,0.7,0.8,1.6,2.5,18,Bulls
Ayo Dosunmu,24,76,37,29.1,4.7,9.5,0.501,1.6,3.9,0.403,3.2,5.6,0.568,0.583,1.1,1.4,0.81,0.7,2.1,2.8,3.2,0.9,0.5,1.4,2.2,12.2,Bulls
Alex Caruso,29,71,57,28.7,3.6,7.6,0.468,1.9,4.7,0.408,1.6,2.9,0.563,0.593,1,1.4,0.76,0.9,3,3.8,3.5,1.7,1,1.4,2.5,10.1,Bulls
Patrick Williams,22,43,30,27.3,3.7,8.3,0.443,1.4,3.4,0.399,2.3,4.9,0.474,0.525,1.2,1.5,0.788,1.1,2.8,3.9,1.5,0.9,0.8,1.3,2,10,Bulls
Javonte Green,30,9,5,25.6,5,8.3,0.6,1.1,3,0.37,3.9,5.3,0.729,0.667,1.1,1.4,0.769,2.2,5.2,7.4,0.6,1.1,0.9,0.8,2.1,12.2,Bulls
Torrey Craig,33,53,14,19.8,2,4.7,0.43,1.1,2.9,0.392,0.9,1.8,0.49,0.55,0.5,0.7,0.75,1.3,2.8,4.1,1.1,0.6,0.4,0.6,2.1,5.7,Bulls
Andre Drummond,30,79,10,17.1,3.4,6.1,0.556,0,0,0,3.4,6,0.56,0.556,1.6,2.8,0.592,3.4,5.6,9,0.5,0.9,0.6,1,1.8,8.4,Bulls
Jevon Carter,28,72,0,13.9,1.9,5.1,0.378,1.1,3.3,0.329,0.8,1.8,0.466,0.484,0.1,0.1,0.571,0.2,0.7,0.8,1.3,0.5,0.2,0.5,1,5,Bulls
Onuralp Bitim,24,23,1,11.7,1.4,3.7,0.381,0.5,1.9,0.273,0.9,1.7,0.5,0.452,0.2,0.2,0.8,0.3,1.1,1.4,0.6,0.1,0.1,0.4,1,3.5,Bulls
Dalen Terry,21,59,2,11.5,1.2,2.7,0.439,0.3,1.3,0.23,0.9,1.4,0.627,0.494,0.4,0.7,0.581,0.5,1.4,1.9,1.4,0.5,0.3,0.5,1.4,3.1,Bulls
Julian Phillips,20,40,0,8.1,0.8,1.9,0.416,0.3,1,0.316,0.5,1,0.513,0.494,0.3,0.5,0.684,0.3,0.6,0.9,0.3,0.2,0.2,0.3,1,2.2,Bulls
Henri Drell,23,4,0,7.5,1,2.5,0.4,0.5,1.5,0.333,0.5,1,0.5,0.5,0.3,0.5,0.5,0.3,0.8,1,1,0.5,0.3,0.5,1.5,2.8,Bulls
Adama Sanogo,21,9,0,7.3,1.6,3,0.519,0,0,,1.6,3,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4,0,0.1,0,0.6,0.6,4,Bulls
Terry Taylor,24,31,0,6.1,0.6,1.3,0.513,0.1,0.3,0.222,0.6,1,0.6,0.538,0.1,0.2,0.8,0.5,0.6,1.2,0.3,0.2,0.1,0.2,0.5,1.5,Bulls
Andrew Funk,24,5,0,2.6,0,0.8,0,0,0.6,0,0,0.2,0,0,0,0,,0,0,0,0,0.2,0.2,0,0,0,Bulls
