Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
Julius Randle,29,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,Knicks
Jalen Brunson,27,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,Knicks
OG Anunoby,26,23,23,34.9,5.4,11.1,0.488,1.8,4.5,0.394,3.7,6.6,0.553,0.568,1.5,1.9,0.791,1,3.4,4.4,1.5,1.7,1,1.7,2.5,14.1,Knicks
Josh Hart,28,81,42,33.4,3.6,8.4,0.434,1,3.2,0.31,2.7,5.2,0.511,0.493,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4,Knicks
RJ Barrett,23,26,26,29.5,6.3,14.9,0.423,1.7,5,0.331,4.7,9.9,0.469,0.478,4,4.8,0.831,0.7,3.5,4.3,2.4,0.5,0.3,1.8,1.7,18.2,Knicks
Donte DiVincenzo,27,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,0.584,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2,15.5,Knicks
Isaiah Hartenstein,25,75,49,25.3,3.1,4.9,0.644,0,0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8,Knicks
Mitchell Robinson,25,31,21,24.8,2.4,4.1,0.575,0,0,,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,Knicks
Precious Achiuwa,24,49,18,24.2,3.2,6.1,0.525,0.3,1,0.26,2.9,5.1,0.578,0.547,0.9,1.4,0.643,2.9,4.3,7.2,1.1,0.6,1.1,1.1,2.1,7.6,Knicks
Immanuel Quickley,24,30,0,24,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1,1.5,15,Knicks
Quentin Grimes,23,45,18,20.2,2.5,6.4,0.395,1.7,4.7,0.363,0.8,1.6,0.486,0.53,0.5,0.8,0.706,0.3,1.6,2,1.2,0.7,0.1,0.5,1.5,7.3,Knicks
Miles McBride,23,68,14,19.5,3,6.7,0.452,1.6,3.9,0.41,1.4,2.8,0.511,0.572,0.6,0.7,0.86,0.5,1,1.5,1.7,0.7,0.1,0.4,1.6,8.3,Knicks
Bojan Bogdanovi?,34,29,0,19.2,3.8,8.8,0.43,1.6,4.4,0.37,2.2,4.4,0.488,0.521,1.2,1.6,0.8,0.3,1.7,2,0.9,0.2,0,1.3,1.3,10.4,Knicks
Alec Burks,32,23,1,13.5,2.2,7.1,0.307,1.1,3.6,0.301,1.1,3.5,0.313,0.383,1,1.4,0.727,0.3,1.4,1.7,0.9,0.3,0,0.7,0.5,6.5,Knicks
Evan Fournier,31,3,0,13,1.3,6.7,0.2,0.7,5,0.133,0.7,1.7,0.4,0.25,0.7,0.7,1,0,1.3,1.3,1,1.3,0,0.3,1.3,4,Knicks
Jericho Sims,25,45,11,13,0.8,1.2,0.691,0,0,,0.8,1.2,0.691,0.691,0.4,0.5,0.667,1.2,2,3.3,0.6,0.2,0.4,0.4,1,2,Knicks
Taj Gibson,38,16,1,10.3,0.4,1.4,0.304,0,0.4,0,0.4,1.1,0.412,0.304,0.1,0.1,1,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1,Knicks
Charlie Brown Jr.,26,8,0,4.6,0.3,1.3,0.2,0.3,0.9,0.286,0,0.4,0,0.3,0,0,,0.1,0.1,0.3,0,0,0.3,0.3,0.6,0.8,Knicks
Shake Milton,27,6,0,4.5,0.7,1.5,0.444,0.2,0.3,0.5,0.5,1.2,0.429,0.5,0.3,0.3,1,0,1,1,0.7,0.2,0,0,1.2,1.8,Knicks
Malachi Flynn,25,14,0,4.3,0.6,1.6,0.391,0.3,0.9,0.308,0.4,0.7,0.5,0.478,0.6,0.8,0.818,0,0.4,0.4,0.4,0.1,0,0.2,0.2,2.2,Knicks
Jacob Toppin,23,9,0,4.2,0.6,1,0.556,0.1,0.4,0.25,0.4,0.6,0.8,0.611,0.2,0.2,1,0.3,0.4,0.8,0.3,0,0.1,0.1,0.3,1.4,Knicks
Mamadi Diakite,27,3,0,2.7,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.3,0.3,0,0.3,0,0.3,0.3,0,Knicks
DaQuan Jeffries,26,17,0,2.7,0.4,1,0.353,0.1,0.6,0.2,0.2,0.4,0.571,0.412,0,0.1,0,0,0.3,0.3,0.3,0,0.1,0.2,0.1,0.8,Knicks
Ryan Arcidiacono,29,20,0,2.3,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0.4,0.4,0.2,0.1,0,0.1,0.3,0,Knicks
Dylan Windler,27,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,,0.75,0,0,,0,0.3,0.3,0.3,0,0,0,0.3,1,Knicks
Dmytro Skapintsev,25,2,0,1,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0,Knicks
