Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
Kevin Durant,35,75,75,37.2,10,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5,0.9,1.2,3.3,1.8,27.1,Suns
Devin Booker,27,68,68,36,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1,Suns
Grayson Allen,28,75,74,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5,Suns
Bradley Beal,30,53,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1,3.4,4.4,5,1,0.5,2.5,2.4,18.2,Suns
Eric Gordon,35,68,24,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11,Suns
Jusuf Nurki?,29,76,76,27.3,4.2,8.3,0.51,0.3,1.2,0.244,3.9,7.1,0.555,0.528,2.2,3.4,0.64,2.9,8.1,11,4,1.1,1.1,2.3,3.3,10.9,Suns
Royce O'Neale,30,30,8,25.1,2.9,7.1,0.411,2,5.2,0.376,1,1.9,0.509,0.549,0.3,0.4,0.692,0.7,4.5,5.2,2.7,0.9,0.5,0.7,1.8,8.1,Suns
Josh Okogie,25,60,11,16,1.4,3.4,0.417,0.5,1.6,0.309,1,1.9,0.509,0.488,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6,Suns
Drew Eubanks,26,75,6,15.6,2,3.4,0.601,0,0,1,2,3.3,0.596,0.607,1,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1,Suns
Keita Bates-Diop,28,39,8,15.3,1.6,3.8,0.427,0.5,1.6,0.313,1.1,2.2,0.512,0.493,0.7,0.9,0.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5,Suns
Jordan Goodwin,25,40,0,14,1.9,4.8,0.389,0.6,2,0.288,1.3,2.8,0.46,0.448,0.6,0.7,0.862,1,1.9,2.9,2,0.6,0.2,0.7,1.1,5,Suns
Yuta Watanabe,29,29,0,13.2,1.2,3.3,0.361,0.8,2.6,0.32,0.4,0.8,0.5,0.485,0.3,0.5,0.667,0.4,1.2,1.6,0.3,0.3,0.2,0.6,1.2,3.6,Suns
Chimezie Metu,26,37,5,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.4,2.1,0.646,0.565,1,1.2,0.884,0.6,2.3,3,0.5,0.5,0.2,0.7,1.1,5,Suns
Bol Bol,24,43,0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1,5.2,Suns
Nassir Little,23,45,2,10.2,1.3,2.8,0.46,0.5,1.6,0.3,0.8,1.2,0.667,0.544,0.4,0.4,0.85,0.3,1.4,1.7,0.5,0.2,0.2,0.3,0.9,3.4,Suns
Thaddeus Young,35,10,0,8.9,1.1,2.1,0.524,0,0.1,0,1.1,2,0.55,0.524,0.1,0.3,0.333,1.7,1.1,2.8,0.7,0.5,0.2,0.4,1.1,2.3,Suns
Saben Lee,24,24,0,7.7,0.8,2.3,0.364,0.1,0.7,0.125,0.8,1.6,0.462,0.382,1.2,1.6,0.744,0.4,0.9,1.3,1.3,0.3,0.1,0.3,0.5,3,Suns
Udoka Azubuike,24,16,0,7.1,1,1.4,0.696,0,0,,1,1.4,0.696,0.696,0.2,0.8,0.231,0.7,1.3,2,0.2,0.1,0.4,0.3,1.1,2.2,Suns
Ish Wainright,29,4,0,4,0.3,1.5,0.167,0.3,1,0.25,0,0.5,0,0.25,0,0,,0.8,0.5,1.3,0.3,0.5,0,0.3,1,0.8,Suns
David Roddy,22,17,0,3.7,0.6,1.4,0.435,0.1,0.5,0.125,0.5,0.9,0.6,0.457,0.1,0.1,1,0.1,0.5,0.6,0.2,0.1,0,0.2,0.2,1.3,Suns
Théo Maledon,22,4,0,3.3,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.8,0.8,1,0,0.3,0.3,0,0,0,0.8,0.8,1.3,Suns
Isaiah Thomas,34,6,0,3.2,0.5,1.7,0.3,0.3,0.7,0.5,0.2,1,0.167,0.4,0,0,,0,0,0,0.5,0,0,0,0,1.3,Suns
