Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
Stephen Curry,35,74,74,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4,7.7,0.515,0.573,4,4.4,0.923,0.5,4,4.5,5.1,0.7,0.4,2.8,1.6,26.4,Warriors
Klay Thompson,33,77,63,29.7,6.4,14.7,0.432,3.5,9,0.387,2.9,5.7,0.503,0.551,1.6,1.8,0.927,0.5,2.8,3.3,2.3,0.6,0.5,1.5,1.6,17.9,Warriors
Draymond Green,33,55,52,27.1,3.4,6.8,0.497,0.9,2.3,0.395,2.4,4.4,0.551,0.566,1,1.3,0.73,1.4,5.9,7.2,6,1,0.9,2.5,3,8.6,Warriors
Andrew Wiggins,28,71,59,27,5,11,0.453,1.3,3.6,0.358,3.7,7.4,0.498,0.511,2,2.7,0.751,1.5,3,4.5,1.7,0.6,0.6,1.2,2.1,13.2,Warriors
Brandin Podziemski,20,74,28,26.6,3.7,8.1,0.454,1.2,3.2,0.385,2.4,4.9,0.499,0.529,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2,Warriors
Chris Paul,38,58,18,26.4,3.6,8.1,0.441,1.3,3.6,0.371,2.2,4.4,0.498,0.525,0.7,0.9,0.827,0.3,3.6,3.9,6.8,1.2,0.1,1.3,1.9,9.2,Warriors
Jonathan Kuminga,21,74,46,26.3,6.2,11.6,0.529,0.7,2.2,0.321,5.4,9.4,0.578,0.56,3,4,0.746,1.2,3.6,4.8,2.2,0.7,0.5,1.6,2.3,16.1,Warriors
Moses Moody,21,66,9,17.5,2.9,6.4,0.462,1.1,3,0.36,1.8,3.3,0.555,0.548,1.1,1.4,0.785,1,2,3,0.9,0.6,0.4,0.7,1.4,8.1,Warriors
Dario Šari?,29,64,9,17.2,2.8,6.1,0.466,1.2,3.1,0.376,1.7,3,0.56,0.562,1.2,1.5,0.849,1.1,3.3,4.4,2.3,0.5,0.2,1.2,1.8,8,Warriors
Trayce Jackson-Davis,23,68,16,16.6,3.4,4.9,0.702,0,0,0,3.4,4.9,0.704,0.702,1.1,1.9,0.561,2,3,5,1.2,0.4,1.1,0.7,1.6,7.9,Warriors
Kevon Looney,27,74,36,16.1,1.9,3.1,0.597,0,0,0,1.9,3.1,0.599,0.597,0.8,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5,Warriors
Gary Payton II,31,44,0,15.5,2.3,4.2,0.563,0.5,1.3,0.364,1.9,2.9,0.648,0.617,0.3,0.5,0.609,1,1.5,2.6,1.1,0.9,0.4,0.6,1.8,5.5,Warriors
Cory Joseph,32,26,0,11.4,0.9,2.5,0.359,0.5,1.6,0.31,0.4,0.8,0.455,0.461,0.2,0.3,0.571,0.2,0.9,1.2,1.6,0.2,0.1,0.5,1,2.4,Warriors
Lester Quinones,23,37,0,10.6,1.5,3.8,0.397,0.9,2.4,0.364,0.6,1.4,0.453,0.511,0.5,0.8,0.69,0.6,1.4,1.9,1,0.2,0.1,0.5,1.2,4.4,Warriors
Gui Santos,21,23,0,8.3,1.2,2.4,0.509,0.4,1.2,0.37,0.8,1.2,0.643,0.6,0.7,0.7,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,1,3.6,Warriors
Pat Spencer,27,6,0,4.3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,,0.3,0.3,0.7,0.8,0,0,0.2,0.2,0.7,Warriors
Jerome Robinson,26,22,0,3.7,0.5,1.5,0.333,0.1,0.8,0.118,0.4,0.7,0.563,0.364,0.3,0.5,0.636,0,0.2,0.3,0.2,0,0.1,0.1,0.2,1.4,Warriors
Usman Garuba,21,6,0,3,0.2,1,0.167,0,0.2,0,0.2,0.8,0.2,0.167,0.2,0.3,0.5,0.5,0.7,1.2,0.2,0.2,0.5,0.3,0.3,0.5,Warriors
