Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
De'Aaron Fox,26,74,74,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6,Kings
Domantas Sabonis,27,82,82,35.7,7.7,13,0.594,0.4,1.1,0.379,7.3,12,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4,Kings
Keegan Murray,23,77,77,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6,0.56,0.548,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1,0.8,0.8,2.7,15.2,Kings
Harrison Barnes,31,82,82,29,4.2,8.9,0.474,1.8,4.7,0.387,2.4,4.2,0.571,0.576,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2,12.2,Kings
Malik Monk,25,72,0,26,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,0.526,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,Kings
Kevin Huerter,25,64,59,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,Kings
Trey Lyles,28,58,0,20,2.5,5.5,0.445,1.4,3.8,0.384,1,1.8,0.578,0.576,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2,Kings
Keon Ellis,24,57,21,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.6,1.1,0.578,0.612,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2,5.4,Kings
Davion Mitchell,25,72,4,15.3,2,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.54,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0,0.6,1.2,5.3,Kings
Sasha Vezenkov,28,42,0,12.2,2,4.5,0.44,1.1,2.9,0.375,0.9,1.7,0.549,0.558,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1,5.4,Kings
Chris Duarte,26,59,11,12.2,1.4,3.6,0.381,0.7,2.2,0.346,0.6,1.4,0.434,0.486,0.4,0.6,0.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4,3.9,Kings
Alex Len,30,48,0,9.3,1,1.7,0.617,0,0.1,0,1,1.6,0.641,0.617,0.4,0.7,0.588,1,1.7,2.7,1,0.2,0.7,0.6,1.4,2.5,Kings
JaVale McGee,36,46,0,7.4,1.7,2.9,0.598,0,0.2,0.143,1.7,2.7,0.624,0.602,0.6,1,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,1,4,Kings
Colby Jones,21,30,0,6.4,0.9,2.4,0.394,0.1,0.7,0.091,0.9,1.6,0.531,0.408,0.2,0.4,0.545,0.6,0.8,1.3,0.7,0.2,0.2,0.3,1,2.1,Kings
Mason Jones,25,5,0,5.6,0.4,1.6,0.25,0.4,1.4,0.286,0,0.2,0,0.375,0.2,0.4,0.5,0.2,0.8,1,1,0.2,0,0.4,0.6,1.4,Kings
Kessler Edwards,23,54,0,5.1,0.6,1.5,0.415,0.4,1,0.385,0.3,0.6,0.467,0.537,0.1,0.2,0.556,0.2,0.6,0.8,0.3,0.2,0.1,0.1,0.5,1.7,Kings
Juan Toscano-Anderson,30,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0,0,0,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6,Kings
Jordan Ford,25,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1,0,0.3,0.3,0.3,0,0,0.2,0,2,Kings
Filip Petrušev,23,2,0,3.5,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5,Kings
Jalen Slawson,24,12,0,3.1,0.3,0.5,0.667,0,0.2,0,0.3,0.3,1,0.667,0,0,0,0.1,0.5,0.6,0.2,0.1,0.1,0.2,0.7,0.7,Kings
