Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TEAM
Anthony Edwards,22,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,Timberwolves
Rudy Gobert,31,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14,Timberwolves
Karl-Anthony Towns,28,62,62,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8,Timberwolves
Jaden McDaniels,23,72,71,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3,10.5,Timberwolves
Mike Conley,36,76,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,Timberwolves
Naz Reid,24,81,14,24.2,5,10.5,0.477,2.1,5,0.414,2.9,5.5,0.535,0.576,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,Timberwolves
Nickeil Alexander-Walker,25,82,20,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2,2.5,0.8,0.5,0.9,1.7,8,Timberwolves
Kyle Anderson,30,79,10,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,Timberwolves
Monte Morris,28,27,0,15.1,1.9,4.4,0.417,0.9,2.2,0.424,0.9,2.3,0.41,0.521,0.4,0.6,0.706,0.2,1.5,1.7,2.3,0.7,0.3,0.2,0.5,5.1,Timberwolves
Shake Milton,27,38,0,12.9,1.7,4.2,0.4,0.4,1.4,0.264,1.3,2.8,0.467,0.444,0.9,1.2,0.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7,Timberwolves
T.J. Warren,30,11,0,11.4,1.6,3.7,0.439,0.2,1.2,0.154,1.5,2.5,0.571,0.463,0.3,0.4,0.75,0.5,1.5,2,0.8,0.4,0.1,0.4,1,3.7,Timberwolves
Jordan McLaughlin,27,56,0,11.2,1.3,2.6,0.483,0.8,1.6,0.472,0.5,1,0.5,0.628,0.2,0.3,0.722,0.3,1,1.3,2,0.6,0.1,0.3,0.6,3.5,Timberwolves
Troy Brown Jr.,24,37,3,11.1,1.4,3.2,0.441,0.8,2.3,0.369,0.6,0.9,0.618,0.572,0.5,0.6,0.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2,Timberwolves
Luka Garza,25,25,0,4.9,1.4,3,0.48,0.4,1.3,0.281,1.1,1.7,0.628,0.54,0.7,1,0.72,0.8,0.5,1.2,0.2,0.2,0,0.2,1,4,Timberwolves
Daishen Nix,21,15,0,3.3,0.6,1.6,0.375,0.4,1.1,0.353,0.2,0.5,0.429,0.5,0.2,0.4,0.5,0.1,0.1,0.2,0.4,0.3,0,0.3,0.1,1.8,Timberwolves
Leonard Miller,20,17,0,3.1,0.8,1.2,0.65,0.1,0.3,0.4,0.6,0.9,0.733,0.7,0.1,0.1,0.5,0.3,0.9,1.2,0.5,0.1,0.1,0.1,0.3,1.7,Timberwolves
Wendell Moore Jr.,22,25,0,3,0.4,0.7,0.5,0,0.2,0,0.4,0.5,0.75,0.5,0,0,0,0,0.5,0.5,0.2,0.2,0,0.2,0.2,0.7,Timberwolves
Josh Minott,21,32,0,2.8,0.5,1.1,0.472,0.1,0.3,0.4,0.4,0.8,0.5,0.528,0.4,0.4,0.857,0.1,0.4,0.5,0.3,0.2,0.2,0.1,0.3,1.6,Timberwolves
Justin Jackson,28,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Timberwolves
